Date,6 Months,12 Months,24 Months,Actual
1991-11-30,0.0,0.0,0.0,0.0
1991-12-31,0.0,0.0,0.0,0.0
1992-01-31,0.0,0.0,0.0,0.0
1992-02-29,0.0,0.0,0.0,0.0
1992-03-31,0.0,0.0,0.0,0.0
1992-04-30,0.0,0.0,0.0,0.0
1992-05-31,0.0,0.0,0.0,0.0
1992-06-30,0.0,0.0,0.0,0.0
1992-07-31,0.0,0.0,0.0,0.0
1992-08-31,0.0,0.0,0.0,0.0
1992-09-30,0.0,0.0,0.0,0.0
1992-10-31,0.0,0.0,0.0,0.0
1992-11-30,0.0,0.0,0.0,0.0
1992-12-31,0.0,0.0,0.0,0.0
1993-01-31,0.0,0.0,0.0,0.0
1993-02-28,0.0,0.0,0.0,0.0
1993-03-31,0.0,0.0,0.01,0.0
1993-04-30,0.0,0.0,0.01,0.0
1993-05-31,0.0,0.0,0.01,0.0
1993-06-30,0.0,0.0,0.01,0.0
1993-07-31,0.0,0.0,0.01,0.0
1993-08-31,0.0,0.0,0.01,0.0
1993-09-30,0.0,0.0,0.01,0.0
1993-10-31,0.0,0.0,0.02,0.0
1993-11-30,0.0,0.0,0.02,0.0
1993-12-31,0.0,0.0,0.02,0.0
1994-01-31,0.0,0.0,0.01,0.0
1994-02-28,0.0,0.0,0.01,0.0
1994-03-31,0.0,0.0,0.01,0.0
1994-04-30,0.0,0.0,0.01,0.0
1994-05-31,0.0,0.0,0.01,0.0
1994-06-30,0.0,0.0,0.01,0.0
1994-07-31,0.0,0.0,0.01,0.0
1994-08-31,0.0,0.0,0.08,0.0
1994-09-30,0.01,0.0,0.13,0.0
1994-10-31,0.01,0.0,0.21,0.0
1994-11-30,0.01,0.0,0.24,0.0
1994-12-31,0.0,0.0,0.37,0.0
1995-01-31,0.01,0.0,0.56,0.0
1995-02-28,0.01,0.0,0.77,0.0
1995-03-31,0.01,0.0,0.84,0.0
1995-04-30,0.0,0.0,0.83,0.0
1995-05-31,0.01,0.0,0.76,0.0
1995-06-30,0.03,0.01,0.62,0.0
1995-07-31,0.03,0.04,0.46,0.0
1995-08-31,0.05,0.06,0.25,0.0
1995-09-30,0.05,0.22,0.16,0.0
1995-10-31,0.05,0.41,0.06,0.0
1995-11-30,0.06,0.64,0.05,0.0
1995-12-31,0.05,0.71,0.03,0.0
1996-01-31,0.06,0.74,0.02,0.0
1996-02-29,0.03,0.57,0.02,0.0
1996-03-31,0.06,0.6,0.01,0.0
1996-04-30,0.07,0.64,0.01,0.0
1996-05-31,0.14,0.71,0.01,0.0
1996-06-30,0.2,0.54,0.01,0.0
1996-07-31,0.39,0.37,0.02,0.0
1996-08-31,0.4,0.21,0.03,0.0
1996-09-30,0.33,0.12,0.12,0.0
1996-10-31,0.13,0.01,0.17,0.0
1996-11-30,0.03,0.0,0.2,0.0
1996-12-31,0.02,0.01,0.25,0.0
1997-01-31,0.02,0.03,0.29,0.0
1997-02-28,0.02,0.03,0.37,0.0
1997-03-31,0.02,0.02,0.36,0.0
1997-04-30,0.03,0.01,0.32,0.0
1997-05-31,0.02,0.01,0.21,0.0
1997-06-30,0.02,0.0,0.08,0.0
1997-07-31,0.0,0.01,0.03,0.0
1997-08-31,0.0,0.01,0.02,0.0
1997-09-30,0.0,0.0,0.02,0.0
1997-10-31,0.0,0.0,0.02,0.0
1997-11-30,0.01,0.01,0.15,0.0
1997-12-31,0.01,0.04,0.38,0.0
1998-01-31,0.01,0.09,0.64,0.0
1998-02-28,0.0,0.12,0.77,0.0
1998-03-31,0.02,0.11,0.6,0.0
1998-04-30,0.01,0.1,0.33,0.0
1998-05-31,0.01,0.21,0.07,0.0
1998-06-30,0.01,0.43,0.02,0.0
1998-07-31,0.01,0.64,0.02,0.0
1998-08-31,0.02,0.65,0.02,0.0
1998-09-30,0.03,0.59,0.05,0.0
1998-10-31,0.03,0.53,0.14,0.0
1998-11-30,0.03,0.67,0.25,0.0
1998-12-31,0.03,0.74,0.24,0.0
1999-01-31,0.03,0.81,0.22,0.0
1999-02-28,0.02,0.73,0.13,0.0
1999-03-31,0.01,0.69,0.11,0.0
1999-04-30,0.01,0.58,0.06,0.0
1999-05-31,0.14,0.52,0.2,0.0
1999-06-30,0.14,0.39,0.2,0.0
1999-07-31,0.15,0.23,0.18,0.0
1999-08-31,0.16,0.11,0.09,0.0
1999-09-30,0.33,0.05,0.24,0.0
1999-10-31,0.35,0.04,0.43,0.0
1999-11-30,0.21,0.04,0.4,0.0
1999-12-31,0.09,0.04,0.55,0.0
2000-01-31,0.08,0.07,0.68,0.0
2000-02-29,0.08,0.05,0.92,0.0
2000-03-31,0.31,0.05,0.91,0.0
2000-04-30,0.42,0.01,0.91,0.0
2000-05-31,0.47,0.04,0.91,0.0
2000-06-30,0.26,0.07,0.95,0.0
